企业名称,销售区域,产品名称,销售数量,原价,销售价格,销售额,净利率,销售日期
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,178,150,225.0,40050.0,0.33,2024-12-29
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,37,350,735.0,27195.0,0.52,2024-11-02
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,169,400,920.0,155480.0,0.57,2024-04-01
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,116,350,735.0,85260.0,0.52,2024-01-07
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,188,350,735.0,138180.0,0.52,2024-03-21
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,98,450,1125.0,110250.0,0.6,2024-07-30
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,192,250,500.0,96000.0,0.5,2024-08-03
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,52,150,225.0,11700.0,0.33,2024-09-15
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,109,400,920.0,100280.0,0.57,2024-07-02
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,198,250,500.0,99000.0,0.5,2024-10-29
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,192,200,360.0,69120.0,0.44,2024-02-05
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,64,300,570.0,36480.0,0.47,2024-04-24
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,163,150,225.0,36675.0,0.33,2024-02-23
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,72,150,225.0,16200.0,0.33,2024-11-10
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,64,400,920.0,58880.0,0.57,2024-04-08
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,179,400,920.0,164680.0,0.57,2024-02-19
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,26,250,500.0,13000.0,0.5,2024-11-07
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,104,350,735.0,76440.0,0.52,2024-06-15
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,64,150,225.0,14400.0,0.33,2024-04-28
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,183,350,735.0,134505.0,0.52,2024-12-27
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,46,200,360.0,16560.0,0.44,2024-03-20
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,52,300,570.0,29640.0,0.47,2024-02-13
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,186,450,1125.0,209250.0,0.6,2024-11-06
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,12,250,500.0,6000.0,0.5,2024-03-02
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,179,350,735.0,131565.0,0.52,2024-01-28
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,21,150,225.0,4725.0,0.33,2024-08-16
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,76,250,500.0,38000.0,0.5,2024-07-07
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,95,200,360.0,34200.0,0.44,2024-04-03
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,52,350,735.0,38220.0,0.52,2024-04-06
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,115,350,735.0,84525.0,0.52,2024-07-03
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,96,300,570.0,54720.0,0.47,2024-04-30
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,150,250,500.0,75000.0,0.5,2024-06-02
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,121,400,920.0,111320.0,0.57,2024-06-25
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,43,450,1125.0,48375.0,0.6,2024-09-19
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,191,450,1125.0,214875.0,0.6,2024-07-12
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,183,450,1125.0,205875.0,0.6,2024-11-24
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,58,300,570.0,33060.0,0.47,2024-03-29
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,36,300,570.0,20520.0,0.47,2024-12-19
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,135,400,920.0,124200.0,0.57,2024-07-30
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,21,150,225.0,4725.0,0.33,2024-12-15
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,178,300,570.0,101460.0,0.47,2024-12-30
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,70,350,735.0,51450.0,0.52,2024-12-26
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,100,200,360.0,36000.0,0.44,2024-09-08
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,37,450,1125.0,41625.0,0.6,2024-11-03
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,105,150,225.0,23625.0,0.33,2024-06-14
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,20,300,570.0,11400.0,0.47,2024-05-14
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,42,350,735.0,30870.0,0.52,2024-06-06
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,129,400,920.0,118680.0,0.57,2024-12-07
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,193,300,570.0,110010.0,0.47,2024-05-05
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,59,300,570.0,33630.0,0.47,2024-11-16
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,64,150,225.0,14400.0,0.33,2024-10-16
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,34,200,360.0,12240.0,0.44,2024-09-09
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,142,450,1125.0,159750.0,0.6,2024-11-21
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,30,150,225.0,6750.0,0.33,2024-10-16
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,125,250,500.0,62500.0,0.5,2024-12-01
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,67,250,500.0,33500.0,0.5,2024-07-29
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,68,350,735.0,49980.0,0.52,2024-07-06
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,17,450,1125.0,19125.0,0.6,2024-01-09
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,138,400,920.0,126960.0,0.57,2024-05-24
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,61,200,360.0,21960.0,0.44,2024-02-27
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,50,400,920.0,46000.0,0.57,2024-04-20
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,42,400,920.0,38640.0,0.57,2024-09-10
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,40,200,360.0,14400.0,0.44,2024-11-11
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,93,250,500.0,46500.0,0.5,2024-04-10
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,81,300,570.0,46170.0,0.47,2024-02-20
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,54,150,225.0,12150.0,0.33,2024-12-25
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,175,250,500.0,87500.0,0.5,2024-12-16
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,22,300,570.0,12540.0,0.47,2024-08-27
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,145,300,570.0,82650.0,0.47,2024-08-04
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,112,300,570.0,63840.0,0.47,2024-05-17
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,167,150,225.0,37575.0,0.33,2024-04-28
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,58,250,500.0,29000.0,0.5,2024-08-06
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,173,300,570.0,98610.0,0.47,2024-04-12
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,140,350,735.0,102900.0,0.52,2024-12-25
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,34,450,1125.0,38250.0,0.6,2024-06-26
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,139,450,1125.0,156375.0,0.6,2024-01-08
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,59,400,920.0,54280.0,0.57,2024-03-13
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,192,400,920.0,176640.0,0.57,2024-07-07
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,152,250,500.0,76000.0,0.5,2024-12-04
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,177,400,920.0,162840.0,0.57,2024-03-30
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,60,300,570.0,34200.0,0.47,2024-09-05
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,198,350,735.0,145530.0,0.52,2024-01-09
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,168,400,920.0,154560.0,0.57,2024-01-02
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,193,400,920.0,177560.0,0.57,2024-06-05
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,68,250,500.0,34000.0,0.5,2024-07-21
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,62,250,500.0,31000.0,0.5,2024-04-26
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,101,350,735.0,74235.0,0.52,2024-11-01
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,103,400,920.0,94760.0,0.57,2024-01-02
