订单ID,客户ID,产品名称,销售数量,单价,销售日期,销售区域,总金额
ORD1015,CUST130,玻璃打磨,4,830,2024-07-14,西南,3320
ORD1061,CUST114,玻璃切割,21,946,2024-11-05,西南,19866
ORD1026,CUST128,玻璃切割,89,220,2024-07-23,华北,19580
ORD1037,CUST168,玻璃雕刻,15,272,2024-03-17,西南,4080
ORD1062,CUST153,玻璃抛光,24,652,2024-05-17,东北,15648
ORD1059,CUST106,玻璃打磨,46,470,2024-12-11,华南,21620
ORD1072,CUST172,玻璃打磨,85,990,2024-03-04,华南,84150
ORD1097,CUST125,玻璃打磨,13,267,2024-10-11,华东,3471
ORD1054,CUST141,玻璃雕刻,29,561,2024-08-01,华南,16269
ORD1097,CUST183,玻璃雕刻,74,710,2024-07-24,东北,52540
ORD1057,CUST107,玻璃抛光,4,728,2024-09-05,西南,2912
ORD1070,CUST151,玻璃雕刻,28,570,2024-04-13,华南,15960
ORD1040,CUST119,玻璃雕刻,37,294,2024-09-06,东北,10878
ORD1020,CUST129,玻璃打磨,81,533,2024-07-08,东北,43173
ORD1060,CUST191,玻璃雕刻,25,684,2024-01-25,华南,17100
ORD1005,CUST173,玻璃雕刻,4,756,2024-09-25,西南,3024
ORD1046,CUST173,玻璃打磨,22,350,2024-07-20,西南,7700
ORD1043,CUST150,玻璃切割,65,948,2024-12-20,西南,61620
ORD1057,CUST150,玻璃切割,8,993,2024-05-17,西南,7944
ORD1059,CUST172,玻璃切割,90,800,2024-07-10,西南,72000
ORD1096,CUST195,玻璃切割,5,562,2024-12-28,华东,2810
ORD1019,CUST136,玻璃打磨,34,337,2024-05-31,华南,11458
ORD1018,CUST162,玻璃雕刻,22,595,2024-10-22,华北,13090
ORD1061,CUST189,玻璃抛光,34,449,2024-04-14,华东,15266
ORD1087,CUST130,玻璃雕刻,5,530,2024-04-21,西南,2650
ORD1020,CUST154,玻璃切割,19,313,2024-08-27,华南,5947
ORD1033,CUST187,玻璃抛光,13,447,2024-06-08,东北,5811
ORD1042,CUST192,玻璃抛光,47,662,2024-11-17,华北,31114
ORD1041,CUST195,玻璃雕刻,97,301,2024-12-06,华东,29197
